channel,r,z,width,height,turns_with_sign,material_index
4,0.0812,0.0985,0.0028,0.005,1,2
4,0.0812,0.1035,0.0028,0.005,1,2
4,0.0812,0.1085,0.0028,0.005,1,2
4,0.0812,0.1135,0.0028,0.005,1,2
4,0.0812,0.1185,0.0028,0.005,1,2
4,0.0812,0.1235,0.0028,0.005,1,2
4,0.0812,0.1285,0.0028,0.005,1,2
4,0.0812,0.1335,0.0028,0.005,1,2
4,0.0812,0.1385,0.0028,0.005,1,2
4,0.0812,0.1435,0.0028,0.005,1,2
4,0.0812,0.1485,0.0028,0.005,1,2
4,0.0812,0.1535,0.0028,0.005,1,2
4,0.0812,0.1585,0.0028,0.005,1,2
4,0.0812,0.1635,0.0028,0.005,1,2
4,0.0812,0.1685,0.0028,0.005,1,2
4,0.0812,0.1735,0.0028,0.005,1,2
4,0.0812,0.1785,0.0028,0.005,1,2
4,0.0812,0.1835,0.0028,0.005,1,2
4,0.0812,0.1885,0.0028,0.005,1,2
4,0.0812,0.1935,0.0028,0.005,1,2
4,0.0812,0.1985,0.0028,0.005,1,2
4,0.0812,0.2035,0.0028,0.005,1,2
4,0.0812,0.2085,0.0028,0.005,1,2
4,0.0812,0.2135,0.0028,0.005,1,2
4,0.0812,0.2185,0.0028,0.005,1,2
4,0.0812,0.2235,0.0028,0.005,1,2
4,0.0812,0.2285,0.0028,0.005,1,2
4,0.0812,0.2335,0.0028,0.005,1,2
4,0.0812,0.2385,0.0028,0.005,1,2
4,0.0812,0.2435,0.0028,0.005,1,2
4,0.0812,0.2485,0.0028,0.005,1,2
4,0.0812,0.2535,0.0028,0.005,1,2
4,0.0812,0.2585,0.0028,0.005,1,2
4,0.0812,0.2635,0.0028,0.005,1,2
4,0.0812,0.2685,0.0028,0.005,1,2
4,0.0812,0.2735,0.0028,0.005,1,2
4,0.0812,0.2785,0.0028,0.005,1,2
4,0.0812,0.2835,0.0028,0.005,1,2
4,0.0812,0.2885,0.0028,0.005,1,2
4,0.0812,0.2935,0.0028,0.005,1,2
4,0.0812,0.2985,0.0028,0.005,1,2
4,0.0812,0.3035,0.0028,0.005,1,2
4,0.0812,0.3085,0.0028,0.005,1,2
4,0.0812,0.3135,0.0028,0.005,1,2
4,0.0812,0.3185,0.0028,0.005,1,2
4,0.0812,0.3235,0.0028,0.005,1,2
4,0.0812,0.3285,0.0028,0.005,1,2
4,0.0812,0.3335,0.0028,0.005,1,2
4,0.0812,0.3385,0.0028,0.005,1,2
4,0.0812,0.3435,0.0028,0.005,1,2
4,0.0812,0.3485,0.0028,0.005,1,2
4,0.0812,0.3535,0.0028,0.005,1,2
4,0.0812,0.3585,0.0028,0.005,1,2
4,0.0812,0.3635,0.0028,0.005,1,2
4,0.0812,0.3685,0.0028,0.005,1,2
4,0.0812,0.3735,0.0028,0.005,1,2
4,0.0812,0.3785,0.0028,0.005,1,2
4,0.0812,0.3835,0.0028,0.005,1,2
4,0.0812,0.3885,0.0028,0.005,1,2
4,0.0812,0.3935,0.0028,0.005,1,2
4,0.0812,0.3985,0.0028,0.005,1,2
4,0.0812,0.4035,0.0028,0.005,1,2
4,0.0812,0.4085,0.0028,0.005,1,2
4,0.0812,0.4135,0.0028,0.005,1,2
4,0.0812,0.4185,0.0028,0.005,1,2
4,0.0812,0.4235,0.0028,0.005,1,2
4,0.0812,0.4285,0.0028,0.005,1,2
4,0.0812,0.4335,0.0028,0.005,1,2
4,0.0812,0.4385,0.0028,0.005,1,2
4,0.0812,0.4435,0.0028,0.005,1,2
4,0.0812,0.4485,0.0028,0.005,1,2
4,0.0812,0.4535,0.0028,0.005,1,2
4,0.0812,0.4585,0.0028,0.005,1,2
4,0.0812,0.4635,0.0028,0.005,1,2
4,0.0812,0.4685,0.0028,0.005,1,2
4,0.0812,0.4735,0.0028,0.005,1,2
4,0.0812,0.4785,0.0028,0.005,1,2
4,0.0812,0.4835,0.0028,0.005,1,2
4,0.0812,0.4885,0.0028,0.005,1,2
4,0.0812,0.4935,0.0028,0.005,1,2
4,0.0812,0.4985,0.0028,0.005,1,2
4,0.0812,0.5035,0.0028,0.005,1,2
4,0.0812,0.5085,0.0028,0.005,1,2
4,0.0812,0.5135,0.0028,0.005,1,2
4,0.0812,0.5185,0.0028,0.005,1,2
4,0.0812,0.5235,0.0028,0.005,1,2
4,0.0812,0.5285,0.0028,0.005,1,2
4,0.0812,0.5335,0.0028,0.005,1,2
4,0.0812,0.5385,0.0028,0.005,1,2
4,0.0812,0.5435,0.0028,0.005,1,2
4,0.0812,0.5485,0.0028,0.005,1,2
4,0.0812,0.5535,0.0028,0.005,1,2
4,0.0812,0.5585,0.0028,0.005,1,2
4,0.0812,0.5635,0.0028,0.005,1,2
4,0.0812,0.5685,0.0028,0.005,1,2
4,0.0812,0.5725,0.0028,0.003,1,2
5,0.08507,0.58255,0.005,0.0171,1,2
5,0.09001,0.59965,0.005,0.0171,1,2
5,0.09495,0.61675,0.005,0.0171,1,2
5,0.09989,0.63385,0.005,0.0171,1,2
5,0.10483,0.65095,0.005,0.0171,1,2
5,0.10977,0.66805,0.005,0.0171,1,2
5,0.11471,0.68515,0.005,0.0171,1,2
5,0.11965,0.70225,0.005,0.0171,1,2
5,0.12459,0.71935,0.005,0.0171,1,2
5,0.12953,0.73645,0.005,0.0171,1,2
5,0.08507,-0.58255,0.005,0.0171,1,2
5,0.09001,-0.59965,0.005,0.0171,1,2
5,0.09495,-0.61675,0.005,0.0171,1,2
5,0.09989,-0.63385,0.005,0.0171,1,2
5,0.10483,-0.65095,0.005,0.0171,1,2
5,0.10977,-0.66805,0.005,0.0171,1,2
